Jersey #,Player Name,Role,Pass Count,Successfull Pass,%,Miss Pass,%,Forward Pass,%,Backward Pass,%,Goals,Penalty Area Pass,Penalty Area Entry,Shots Attempted,Shots on Target,Saves,Defensive Errors,Aerial Duels Won,Aerial Duels Lost,Tackles,Clearance,Fouls,Fouls in Final Third,Fouls in Middle Third,Fouls in Defensive Third,Foul Won,FW Final 3rd,FW Middle 3rd,FW Defensive 3rd,Cut Backs,Crosses,Free Kicks,Corners,Corner Failed,Corner Success,Throw Ins(TI),TI Failed,TI Success,Offside
13,C Thomas,GK,12,10,83.33%,2,17%,12,100.00%,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,EJ Giowani,,20,19,95.00%,1,5%,11,55.00%,8,40.00%,0,0,0,0,0,0,0,1,2,2,1,3,1,1,1,3,0,1,2,0,0,1,1,0,1,0,0,0,0
4,ADMPN Miguel,,10,6,60.00%,4,40%,9,90.00%,1,10.00%,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,M Raimu,,7,6,85.71%,1,14%,3,42.86%,4,57.14%,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,AA Adam,,14,9,64.29%,5,36%,12,85.71%,2,14.29%,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
11,PM Ian,,8,4,50.00%,4,50%,5,62.50%,3,37.50%,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
14,LJN Ian,,17,12,70.59%,5,29%,11,64.71%,6,35.29%,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
17,D Thomas,,11,10,90.91%,1,9%,6,54.55%,5,45.45%,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,M Antony,LB,8,5,62.50%,3,38%,7,87.50%,1,12.50%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
23,MBI Rodrigo,CB,26,18,69.23%,8,31%,21,80.77%,5,19.23%,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
77,HLD Adrian,FW,7,6,85.71%,1,14%,3,42.86%,4,57.14%,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,140,105,75.00%,35,25.00%,100,71.43%,39,27.86%,0,4,1,1,0,0,0,1,5,4,9,8,2,4,2,6,0,2,4,1,1,5,2,1,1,1,1,0,0
