Jersey #,Player Name,Role,Pass Count,Successfull Pass,%,Miss Pass,%,Forward Pass,%,Backward Pass,%,Goals,Penalty Area Pass,Penalty Area Entry,Shots Attempted,Shots on Target,Saves,Defensive Errors,Aerial Duels Won,Aerial Duels Lost,Tackles,Clearance,Fouls,Fouls in Final Third,Fouls in Middle Third,Fouls in Defensive Third,Foul Won,FW Final 3rd,FW Middle 3rd,FW Defensive 3rd,Cut Backs,Crosses,Free Kicks,Corners,Corner Failed,Corner Success,Throw Ins(TI),TI Failed,TI Success,Offside
13,C Thomas,GK,21,20,95.24%,1,5%,21,100.00%,0,0.00%,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,EJ Giowani,,25,23,92.00%,2,8%,21,84.00%,4,16.00%,0,4,1,2,0,0,0,0,0,0,0,1,0,0,1,3,1,1,1,0,2,1,1,0,1,0,0,0,0
4,ADMPN Miguel,,16,9,56.25%,7,44%,14,87.50%,2,12.50%,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0
7,M Raimu,,5,2,40.00%,3,60%,3,60.00%,2,40.00%,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,AA Adam,,17,15,88.24%,2,12%,16,94.12%,1,5.88%,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0
11,PM Ian,,0,0,#DIV/0!,,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0
14,LJN Ian,,20,14,70.00%,6,30%,15,75.00%,4,20.00%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0
17,D Thomas,,9,9,100.00%,,0%,8,88.89%,1,11.11%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,M Antony,LB,20,17,85.00%,3,15%,16,80.00%,4,20.00%,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
23,MBI Rodrigo,CB,29,23,79.31%,6,21%,26,89.66%,3,10.34%,1,1,2,1,1,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
77,HLD Adrian,FW,9,7,77.78%,2,22%,5,55.56%,3,33.33%,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,VE Edward,,13,11,84.62%,2,15%,13,100.00%,0,0.00%,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,1,0
22,S Yamahira,,2,2,100.00%,0,0%,2,100.00%,0,0.00%,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
16,HCJR Nebbo,,7,6,85.71%,1,14%,5,71.43%,2,28.57%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
,,,193,158,81.87%,35,18%,165,85.49%,26,13.47%,1,15,9,9,4,4,0,1,4,0,8,3,1,1,1,7,2,3,2,1,3,6,4,0,4,8,2,6,2
