Jersey #,Player Name,Role,Pass Count,Successfull Pass,%,Miss Pass,%,Forward Pass,%,Backward Pass,%,Goals,Penalty Area Pass,Penalty Area Entry,Shots Attempted,Shots on Target,Saves,Defensive Errors,Aerial Duels Won,Aerial Duels Lost,Tackles,Clearance,Fouls,Fouls in Final Third,Fouls in Middle Third,Fouls in Defensive Third,Foul Won,FW Final 3rd,FW Middle 3rd,FW Defensive 3rd,Cut Backs,Crosses,Free Kicks,Corners,Corner Failed,Corner Success,Throw Ins(TI),TI Failed,TI Success,Offside
1,VJ Louis,GK,11,9,81.82%,2,18%,11,100.00%,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,R Toby,,33,28,84.85%,5,15%,22,66.67%,11,33.33%,0,3,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,2,0,2,0
9,K Klaudio,CAM,29,25,86.21%,4,14%,14,48.28%,15,51.72%,0,2,0,3,3,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11,BK Mieczyslaw,CM,29,24,82.76%,5,17%,15,51.72%,14,48.28%,1,4,1,2,2,0,0,3,0,1,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,FV Amin,CM,43,39,90.70%,4,9%,28,65.12%,15,34.88%,0,0,0,0,0,0,0,3,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,BJB Charles,,13,11,84.62%,2,15%,8,61.54%,5,38.46%,0,1,3,1,0,0,0,0,0,0,0,2,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1
15,NA Cedric,,17,11,64.71%,6,35%,9,52.94%,8,47.06%,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,2,1,1,0,1,1,1,3,3,0,0,0,0,1
18,B Michael,CB,27,24,88.89%,3,11%,25,92.59%,2,7.41%,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0
21,SL Alan,RW,16,13,81.25%,3,19%,8,50.00%,8,50.00%,1,4,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,3,1,2,0
24,KL Thomas,LW,18,13,72.22%,5,28%,13,72.22%,5,27.78%,0,1,1,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0
25,BJ Adam,LB,27,24,88.89%,3,11%,20,74.07%,7,25.93%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0
,,,263,221,84.03%,42,16%,173,65.78%,90,34.22%,3,16,9,14,8,0,0,8,0,7,0,9,6,2,1,8,4,3,1,2,2,8,4,4,0,12,3,9,2
